starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
HD72968,410,21,88,-0.8150,0.0018,0.0070,-0.0103
HD72968,465,22,88,-0.8637,0.0016,0.0064,-0.0133
HD72968,550,23,88,-0.8503,0.0011,0.0047,-0.0132
HD74196,465,22,100,0.0856,0.0010,0.0022,-0.0188
HD74521,350,20,45,1.2066,0.0006,0.0053,-0.0127
HD74521,410,21,45,1.4626,0.0004,0.0030,-0.0181
HD74521,465,22,45,1.4891,0.0005,0.0042,-0.0060
HD74521,550,23,45,1.5482,0.0006,0.0054,-0.0124
HD74521,350,20,45,-1.2304,0.0009,0.0047,-0.0127
HD74521,410,21,45,-0.9167,0.0010,0.0049,-0.0181
HD74521,465,22,45,-0.9123,0.0007,0.0033,-0.0060
HD74521,550,23,45,-0.8308,0.0011,0.0053,-0.0124
HD79158,350,20,32,-1.5104,0.0011,0.0081,-0.0162
HD79158,410,21,32,-0.8920,0.0008,0.0058,-0.0089
HD79158,465,22,32,-0.7658,0.0005,0.0036,-0.0091
HD79158,550,23,32,-0.6640,0.0009,0.0053,-0.0057
HD81009,350,20,2,-0.0956,0.0007,0.0032,0.0092
HD81009,410,21,2,0.0853,0.0032,0.0149,0.0098
HD81009,465,22,2,-0.0471,0.0030,0.0144,0.0533
HD81009,550,23,2,-0.1089,0.0007,0.0029,0.0010
HD81009,350,20,27.1,-0.1036,0.0013,0.0045,0.0092
HD81009,410,21,27.1,0.0895,0.0042,0.0161,0.0098
HD81009,465,22,27.1,-0.0757,0.0082,0.0217,0.0533
HD81009,550,23,27.1,-0.1100,0.0010,0.0026,0.0010
HD81009,350,20,37,-0.0974,0.0003,0.0044,0.0092
HD81009,410,21,37,-0.0634,0.0002,0.0032,0.0098
HD81009,465,22,37,0.0924,0.0002,0.0035,0.0533
HD81009,550,23,37,-0.1038,0.0003,0.0037,0.0010
HD81009,440,41,46,5.8198,0.0007,0.0049,0.0410
HD81009,550,42,46,6.5207,0.0005,0.0039,0.0010
HD83368,350,20,38,0.1096,0.0005,0.0030,-0.0393
HD83368,410,21,38,-0.1920,0.0006,0.0030,-0.0498
HD83368,465,22,38,-0.3724,0.0003,0.0018,-0.0030
HD83368,550,23,38,-0.4701,0.0003,0.0026,0.0181
HD83368,350,20,39,-0.2837,0.0026,0.0151,-0.0393
HD83368,410,21,39,-0.3330,0.0023,0.0108,-0.0498
HD83368,465,22,39,-0.3621,0.0011,0.0066,-0.0030
HD83368,550,23,39,-0.3578,0.0004,0.0039,0.0181
HD83368,350,20,48,-0.2656,0.0017,0.0075,-0.0393
HD83368,410,21,48,-0.3210,0.0012,0.0041,-0.0498
HD83368,465,22,48,-0.3644,0.0012,0.0055,-0.0030
HD83368,550,23,48,-0.3596,0.0006,0.0045,0.0181
HD83368,350,20,90,7.8847,0.0025,0.0123,-0.0393
HD83368,410,21,90,6.7233,0.0016,0.0057,-0.0498
HD83368,465,22,90,6.3353,0.0008,0.0041,-0.0030
HD83368,550,23,90,6.1788,0.0007,0.0051,0.0181
HD86592,350,20,32,1.5217,0.0007,0.0057,0.0242
HD86592,410,21,32,1.7511,0.0005,0.0053,0.1190
HD86592,465,22,32,1.6616,0.0004,0.0040,0.0291
HD86592,550,23,32,1.6449,0.0003,0.0035,-0.0139
HD86592,360,40,49,8.5947,0.0025,0.0105,0.0358
HD86592,440,41,49,7.2079,0.0013,0.0043,0.0941
HD86592,550,42,49,7.8653,0.0014,0.0070,-0.0139
HD86592,450,43,49,8.1863,0.0016,0.0064,0.1305
HD86592,440,44,49,8.6107,0.0029,0.0093,0.0941
HD86592,550,45,49,8.5784,0.0011,0.0054,-0.0139
HD86592,581,46,49,8.9940,0.0003,0.0033,-0.0329
HD90044,350,20,30,0.6244,0.0006,0.0052,-0.0529
HD90044,410,21,30,0.7519,0.0004,0.0037,-0.0224
HD90044,465,22,30,0.7191,0.0003,0.0031,-0.0320
HD90044,550,23,30,0.7794,0.0004,0.0037,-0.0189
HD90044,350,20,50,6.9639,0.0022,0.0179,-0.0529
HD90044,410,21,50,6.0101,0.0010,0.0095,-0.0224
HD90044,465,22,50,5.8870,0.0007,0.0074,-0.0320
HD90044,550,23,50,5.9770,0.0007,0.0067,-0.0189
HD90044,350,20,51,7.0352,0.0036,0.0193,-0.0529
HD90044,410,21,51,6.0385,0.0011,0.0061,-0.0224
HD90044,465,22,51,5.8878,0.0010,0.0058,-0.0320
HD90044,550,23,51,5.9684,0.0011,0.0056,-0.0189
HD90569,350,20,52,-0.3224,0.0008,0.0086,-0.0229
HD90569,410,21,52,-0.1999,0.0003,0.0028,-0.0055
HD90569,465,22,52,-0.1973,0.0004,0.0035,-0.0039
HD90569,550,23,52,-0.1504,0.0002,0.0023,-0.0024
HD94660,350,20,92,7.0426,0.0030,0.0320,0.0000
HD94660,410,21,92,6.1739,0.0010,0.0104,0.0000
HD94660,465,22,92,6.0342,0.0008,0.0088,0.0000
HD94660,550,23,92,6.1172,0.0006,0.0069,0.0000
HD94660,350,20,93,7.0836,0.0020,0.0188,0.0000
HD94660,410,21,93,6.2037,0.0012,0.0117,0.0000
HD94660,465,22,93,6.0305,0.0009,0.0086,0.0000
HD94660,550,23,93,6.1115,0.0008,0.0077,0.0000
HD94660,350,20,97,7.0789,0.0019,0.0098,0.0000
HD94660,410,21,97,6.1862,0.0018,0.0097,0.0000
HD94660,465,22,97,6.0254,0.0014,0.0073,0.0000
HD94660,550,23,97,6.1142,0.0015,0.0081,0.0000
HD96616,350,20,38,-0.3802,0.0040,0.0139,-0.0656
HD96616,410,21,38,-0.3187,0.0013,0.0044,-0.0205
HD96616,465,22,38,-0.3122,0.0020,0.0071,-0.0339
HD96616,550,23,38,-0.2795,0.0016,0.0052,-0.0291
HD96616,350,20,53,6.5790,0.0010,0.0086,-0.0656
HD96616,410,21,53,5.3654,0.0009,0.0076,-0.0205
HD96616,465,22,53,5.1681,0.0007,0.0060,-0.0339
HD96616,550,23,53,5.1636,0.0006,0.0051,-0.0291
HD96707,350,20,52,-0.2606,0.0006,0.0067,0.0109
HD96707,410,21,52,-0.3072,0.0006,0.0057,-0.0131
HD96707,465,22,52,-0.2375,0.0007,0.0072,0.0064
HD96707,550,23,52,-0.3529,0.0004,0.0057,-0.0141
HD98088,2200,7,8,0.3071,0.0025,0.0138,0.0101
HD98088,2200,8,8,0.4091,0.0017,0.0093,0.0101
HD98088,2200,9,8,0.4256,0.0017,0.0094,0.0101
HD98088,350,20,48,0.0197,0.0062,0.0161,-0.0094
HD98088,410,21,48,-0.0540,0.0020,0.0076,-0.0510
HD98088,465,22,48,-0.0559,0.0012,0.0086,-0.0262
HD98088,550,23,48,0.0206,0.0049,0.0116,0.0023
HD98088,360,1,54,-0.9947,0.0009,0.0058,-0.0114
HD98088,440,2,54,-1.1038,0.0005,0.0040,-0.0272
HD98088,550,3,54,-0.7410,0.0005,0.0033,0.0023
HD98088,350,20,54,-0.9294,0.0023,0.0066,-0.0094
HD98088,410,21,54,-1.1829,0.0006,0.0019,-0.0510
HD98088,465,22,54,-0.9724,0.0005,0.0010,-0.0262
HD98088,550,23,54,-0.6885,0.0020,0.0056,0.0023
HD98088,350,20,54,-0.7525,0.0020,0.0046,-0.0094
HD98088,410,21,54,-0.6621,0.0015,0.0095,-0.0510
HD98088,550,23,54,-0.8099,0.0014,0.0035,0.0023
HD98088,517,70,54,-0.7771,0.0108,0.0124,-0.0133
HD98088,517,71,54,-0.7492,0.0073,0.0079,-0.0133
HD103192,350,20,92,5.1258,0.0013,0.0119,-0.0716
HD103192,410,21,92,4.3325,0.0012,0.0104,-0.0364
HD103192,465,22,92,4.2326,0.0008,0.0072,-0.0392
HD103192,550,23,92,4.2855,0.0007,0.0059,-0.0304
HD103192,350,20,93,5.1722,0.0040,0.0155,-0.0716
HD103192,410,21,93,4.3197,0.0072,0.0284,-0.0364
HD103192,465,22,93,4.2307,0.0033,0.0115,-0.0392
HD103192,550,23,93,4.2829,0.0018,0.0069,-0.0304
HD111133,350,20,22.1,-0.1763,0.0004,0.0034,-0.0271
HD111133,410,21,22.1,-0.0404,0.0004,0.0036,-0.0306
HD111133,465,22,22.1,-0.0693,0.0005,0.0043,-0.0462
HD111133,550,23,22.1,-0.0033,0.0006,0.0051,-0.0158
HD111133,360,40,22.2,6.7319,0.0006,0.0077,-0.0362
HD111133,440,41,22.2,5.2956,0.0003,0.0044,-0.0380
HD111133,550,42,22.2,6.3155,0.0004,0.0058,-0.0158
HD111133,450,43,22.2,6.1642,0.0025,0.0124,-0.0370
HD111133,440,44,22.2,6.8043,0.0016,0.0097,-0.0380
HD111133,550,45,22.2,7.0215,0.0018,0.0096,-0.0158
HD111133,581,46,22.2,7.4714,0.0020,0.0113,-0.0332
HD111133,350,20,95,-0.1918,0.0009,0.0055,-0.0271
HD111133,410,21,95,-0.0499,0.0008,0.0043,-0.0306
HD111133,465,22,95,-0.0648,0.0006,0.0035,-0.0462
HD111133,550,23,95,-0.0117,0.0007,0.0037,-0.0158
HD114365,350,20,90,6.7991,0.0005,0.0050,-0.0700
HD114365,410,21,90,6.1143,0.0004,0.0040,0.0510
HD114365,465,22,90,6.0090,0.0003,0.0040,-0.0220
HD114365,550,23,90,6.0608,0.0004,0.0040,-0.0300
HD115708,350,20,17,0.6687,0.0005,0.0050,0.0170
HD115708,410,21,17,0.7537,0.0005,0.0060,0.0240
HD115708,465,22,17,0.7282,0.0006,0.0060,-0.0020
HD115708,550,23,17,0.7040,0.0004,0.0050,-0.0090
HD116458,350,20,92,6.8140,0.0032,0.0207,0.0285
HD116458,410,21,92,5.7995,0.0016,0.0092,-0.0265
HD116458,465,22,92,5.6354,0.0016,0.0086,-0.0377
HD116458,550,23,92,5.6646,0.0019,0.0133,-0.0332
HD116458,350,20,93,6.8413,0.0040,0.0244,0.0285
HD116458,410,21,93,5.8195,0.0022,0.0123,-0.0265
HD116458,465,22,93,5.6429,0.0024,0.0121,-0.0377
HD116458,550,23,93,5.6754,0.0022,0.0133,-0.0332
HD116458,350,20,97,6.8334,0.0039,0.0133,0.0285
HD116458,410,21,97,5.8162,0.0018,0.0050,-0.0265
HD116458,465,22,97,5.6411,0.0017,0.0048,-0.0377
HD116458,550,23,97,5.6754,0.0012,0.0040,-0.0332
HD119213,350,50,24,-0.2467,0.0016,0.0092,0.0226
HD119213,360,51,24,-0.1881,0.0014,0.0081,0.0513
HD119213,410,52,24,-0.1235,0.0010,0.0050,0.0886
HD119213,465,53,24,-0.1631,0.0004,0.0038,0.0363
HD119213,510,54,24,-0.1570,0.0018,0.0103,0.0211
HD119213,550,55,24,-0.1574,0.0006,0.0055,-0.0056
HD119213,635,56,24,-0.1671,0.0011,0.0060,-0.0105
HD119213,635,57,24,-0.1590,0.0015,0.0079,-0.0105
HD119213,740,58,24,-0.1410,0.0008,0.0052,-0.0207
HD119213,740,59,24,-0.1276,0.0012,0.0080,-0.0207
HD119213,350,20,55,-0.2437,0.0010,0.0049,0.0226
HD119213,410,21,55,-0.1209,0.0015,0.0070,0.0886
HD119213,465,22,55,-0.1659,0.0003,0.0020,0.0363
HD119213,550,23,55,-0.1659,0.0003,0.0022,-0.0056
HD119213,360,1,57,6.4173,0.0042,0.0137,0.0513
HD119213,440,2,57,6.4011,0.0017,0.0071,0.0621
HD119213,550,3,57,6.2940,0.0005,0.0024,-0.0056
HD119213,360,1,58,0.8891,0.0016,0.0074,0.0513
HD119213,440,2,58,0.8123,0.0008,0.0046,0.0621
HD119213,550,3,58,0.6842,0.0005,0.0038,-0.0056
HD119213,360,1,59,6.4162,0.0018,0.0083,0.0513
HD119213,440,2,59,6.3959,0.0010,0.0063,0.0621
HD119213,550,3,59,6.2880,0.0007,0.0054,-0.0056
HD119213,360,1,60,6.4151,0.0006,0.0078,0.0513
HD119213,440,2,60,6.3888,0.0003,0.0049,0.0621
HD119213,550,3,60,6.2834,0.0003,0.0062,-0.0056
HD119213,350,20,61,6.2439,0.0017,0.0092,0.0226
HD119213,410,21,61,6.2851,0.0038,0.0184,0.0886
HD119213,465,22,61,6.5595,0.0024,0.0219,0.0363
HD119213,550,23,61,7.6725,0.0017,0.0150,-0.0056
HD119213,486,26,61,2.8844,0.0035,0.0146,-0.0302
HD119213,360,1,83,-0.4953,0.0022,0.0114,0.0513
HD119213,440,2,83,-0.5548,0.0018,0.0134,0.0621
HD119213,550,3,83,-0.1835,0.0007,0.0065,-0.0056
HD119213,790,4,84,-0.1631,0.0006,0.0043,-0.0169
HD119213,410,21,84,-0.1235,0.0010,0.0064,0.0886
HD120198,350,20,62,-0.1601,0.0003,0.0030,0.0260
HD120198,410,21,62,-0.0191,0.0004,0.0030,0.0130
HD120198,465,22,62,-0.0441,0.0003,0.0020,0.0190
HD120198,550,23,62,0.0022,0.0004,0.0030,0.0110
HD125248,350,20,43,0.0667,0.0016,0.0074,-0.0842
HD125248,410,21,43,0.0733,0.0017,0.0063,-0.1221
HD125248,465,22,43,0.0420,0.0006,0.0052,-0.0258
HD125248,550,23,43,0.0549,0.0035,0.0140,0.0237
HD125248,350,20,61,7.1316,0.0023,0.0099,-0.0842
HD125248,410,21,61,6.0244,0.0039,0.0139,-0.1221
HD125248,465,22,61,5.8343,0.0009,0.0080,-0.0258
HD125248,550,23,61,5.8697,0.0048,0.0185,0.0237
HD125248,450,77,63,0.3447,0.0005,0.0023,-0.0533
HD125248,360,1,64,0.3331,0.0007,0.0032,-0.1031
HD125248,440,2,64,0.3473,0.0006,0.0028,-0.0846
HD125248,550,3,64,0.3349,0.0005,0.0025,0.0237
HD125248,360,1,66,0.3355,0.0005,0.0031,-0.1031
HD125248,440,2,66,0.3482,0.0005,0.0033,-0.0846
HD125248,550,3,66,0.3368,0.0004,0.0027,0.0237
HD125248,350,20,66,0.3289,0.0007,0.0040,-0.0842
HD125248,410,21,66,0.3788,0.0009,0.0037,-0.1221
HD125248,465,22,66,0.3111,0.0003,0.0033,-0.0258
HD125248,550,23,66,0.3406,0.0023,0.0141,0.0237
HD125248,517,70,66,0.3206,0.0027,0.0143,0.0224
HD125248,517,71,66,0.3713,0.0008,0.0041,0.0224
HD125248,350,20,67,0.3155,0.0021,0.0074,-0.0842
HD125248,410,21,67,0.3791,0.0060,0.0187,-0.1221
HD125248,465,22,67,0.3035,0.0001,0.0007,-0.0258
HD125248,550,23,67,0.3347,0.0065,0.0204,0.0237
HD125630,350,20,4,8.0739,0.0241,0.0520,-0.0500
HD125630,410,21,4,7.1404,0.0680,0.1350,0.1400
HD125630,465,22,4,6.7986,0.0100,0.0240,-0.0520
HD125630,550,23,4,6.7467,0.0202,0.0910,-0.1280
HD125630,350,20,53,8.0746,0.0014,0.0110,-0.0500
HD125630,410,21,53,7.1123,0.0013,0.0100,0.1400
HD125630,465,22,53,6.8282,0.0009,0.0080,-0.0520
HD125630,550,23,53,6.7934,0.0004,0.0060,-0.1280
HD126515,360,1,1,0.8585,0.0015,0.0090,-0.0320
HD126515,440,2,1,0.9888,0.0021,0.0110,0.0590
HD126515,550,3,1,1.1253,0.0034,0.0150,0.0520
HD126515,350,20,22.1,0.7036,0.0004,0.0050,-0.0430
HD126515,410,21,22.1,0.8082,0.0004,0.0040,0.0620
HD126515,465,22,22.1,0.8861,0.0006,0.0060,0.0840
HD126515,550,23,22.1,1.0246,0.0006,0.0060,0.0520
HD126515,360,40,22.2,7.5397,0.0012,0.0080,-0.0320
HD126515,440,41,22.2,6.1442,0.0011,0.0070,0.0590
HD126515,550,42,22.2,7.0974,0.0011,0.0060,0.0520
HD126515,402,43,22.2,7.0364,0.0009,0.0060,0.0580
HD126515,448,44,22.2,7.6257,0.0011,0.0080,0.0640
HD126515,540,45,22.2,7.8028,0.0020,0.0120,0.0510
HD126515,581,46,22.2,8.2541,0.0016,0.0110,0.0710
HD133029,350,20,45,-2.0151,0.0005,0.0070,0.0130
HD133029,410,21,45,-1.6967,0.0003,0.0040,0.0230
HD133029,465,22,45,-1.7354,0.0004,0.0040,0.0200
HD133029,550,23,45,-1.6059,0.0004,0.0050,0.0120
HD134214,350,20,20,1.2397,0.0005,0.0050,0.0000
HD134214,410,21,20,1.3613,0.0006,0.0061,0.0000
HD134214,465,22,20,1.0376,0.0005,0.0054,0.0000
HD134214,550,23,20,0.8668,0.0004,0.0042,0.0000
HD137909,350,20,61,5.3362,0.0029,0.0080,0.0090
HD137909,410,21,61,4.1567,0.0053,0.0110,0.0550
HD137909,465,22,61,3.7784,0.0005,0.0020,0.0240
HD137909,550,23,61,3.6299,0.0012,0.0060,0.0170
HD137909,486,26,61,2.8492,0.0026,0.0090,-0.0140
HD137909,440,2,68,-2.6563,0.0006,0.0020,0.0320
HD137909,550,3,68,-1.8338,0.0029,0.0100,0.0170
HD137909,360,1,69,0.2461,0.0015,0.0080,0.0260
HD137909,440,2,69,0.1259,0.0008,0.0050,0.0320
HD137909,550,3,69,-0.1469,0.0005,0.0030,0.0170
HD142070,350,20,70,0.4476,0.0007,0.0060,-0.0120
HD142070,410,21,70,0.5006,0.0006,0.0060,-0.0150
HD142070,465,22,70,0.4717,0.0008,0.0090,-0.0070
HD142070,550,23,70,0.4846,0.0008,0.0080,-0.0060
HD144667,350,20,92,7.3231,0.0008,0.0132,-0.0093
HD144667,410,21,92,6.7199,0.0008,0.0119,-0.0090
HD144667,465,22,92,6.6357,0.0006,0.0108,-0.0091
HD144667,550,23,92,6.6569,0.0007,0.0112,-0.0051
HD144667,350,20,93,7.3453,0.0016,0.0230,-0.0093
HD144667,410,21,93,6.7292,0.0011,0.0145,-0.0090
HD144667,465,22,93,6.6380,0.0008,0.0123,-0.0091
HD144667,550,23,93,6.6603,0.0009,0.0107,-0.0051
HD144667,350,20,97,7.3550,0.0024,0.0168,-0.0093
HD144667,410,21,97,6.7378,0.0023,0.0158,-0.0090
HD144667,465,22,97,6.6396,0.0020,0.0151,-0.0091
HD144667,550,23,97,6.6627,0.0025,0.0169,-0.0051
HD152308,350,20,52,0.4596,0.0004,0.0040,-0.0530
HD152308,410,21,52,0.5720,0.0003,0.0030,-0.0270
HD152308,465,22,52,0.5468,0.0006,0.0060,-0.0150
HD152308,550,23,52,0.6085,0.0003,0.0020,-0.0200
HD159376,350,20,92,7.4815,0.0012,0.0090,0.0790
HD159376,410,21,92,6.6703,0.0006,0.0050,0.0510
HD159376,465,22,92,6.5321,0.0007,0.0060,0.0520
HD159376,550,23,92,6.4803,0.0010,0.0080,0.0440
HD159376,350,20,93,7.4620,0.0053,0.0190,0.0790
HD159376,410,21,93,6.6605,0.0041,0.0170,0.0510
HD159376,465,22,93,6.5162,0.0043,0.0180,0.0520
HD159376,550,23,93,6.4744,0.0048,0.0180,0.0440
HD164429,350,20,52,-0.4849,0.0007,0.0060,0.0410
HD164429,410,21,52,-0.0803,0.0005,0.0050,0.0050
HD164429,465,22,52,-0.1803,0.0006,0.0060,0.0040
HD164429,550,23,52,0.0330,0.0005,0.0050,0.0040
HD168733,350,20,92,5.9229,0.0016,0.0120,-0.0220
HD168733,410,21,92,5.3449,0.0006,0.0050,-0.0080
HD168733,465,22,92,5.2879,0.0010,0.0070,-0.0110
HD168733,550,23,92,5.3420,0.0005,0.0040,-0.0120
HD168733,350,20,93,5.9510,0.0051,0.0190,-0.0220
HD168733,410,21,93,5.3496,0.0046,0.0210,-0.0080
HD168733,465,22,93,5.2869,0.0056,0.0190,-0.0110
HD168733,550,23,93,5.3445,0.0039,0.0180,-0.0120
HD170973,350,20,33,-0.3765,0.0002,0.0040,-0.0237
HD170973,410,21,33,-0.3476,0.0002,0.0042,-0.0137
HD170973,465,22,33,-0.3808,0.0003,0.0046,-0.0143
HD170973,550,23,33,-0.3095,0.0003,0.0048,-0.0127
HD171247,350,20,70,-0.2941,0.0004,0.0030,0.0690
HD171247,410,21,70,-0.1833,0.0004,0.0040,0.0420
HD171247,465,22,70,-0.1721,0.0004,0.0030,0.0410
HD171247,550,23,70,-0.1567,0.0003,0.0030,0.0320
HD171782,350,20,31,-0.0983,0.0012,0.0100,0.0940
HD171782,410,21,31,-0.2363,0.0009,0.0070,0.0430
HD171782,465,22,31,-0.2774,0.0010,0.0060,0.0650
HD171782,550,23,31,-0.2795,0.0014,0.0120,0.0600
HD177410,350,20,30,-0.6133,0.0004,0.0050,-0.0480
HD177410,410,21,30,0.0661,0.0003,0.0040,-0.0340
HD177410,465,22,30,0.1730,0.0003,0.0030,-0.0320
HD177410,550,23,30,0.2516,0.0003,0.0030,-0.0230
HD179527,350,20,102,0.9505,0.0006,0.0065,-0.0318
HD179527,410,21,102,1.4986,0.0004,0.0050,-0.0197
HD179527,465,22,102,1.5444,0.0005,0.0047,-0.0198
HD179527,550,23,102,1.6385,0.0005,0.0052,-0.0154
HD184905,350,50,24,-0.3240,0.0014,0.0090,-0.0830
HD184905,360,51,24,-0.2238,0.0009,0.0060,-0.0530
HD184905,410,52,24,-0.0667,0.0010,0.0050,-0.0170
HD184905,465,53,24,-0.0637,0.0007,0.0040,-0.0370
HD184905,510,54,24,-0.0405,0.0009,0.0060,-0.0370
HD184905,550,55,24,-0.0502,0.0011,0.0070,-0.0410
HD184905,635,56,24,-0.0654,0.0006,0.0040,-0.0460
HD184905,635,57,24,-0.0683,0.0016,0.0110,-0.0460
HD184905,740,58,24,-0.0546,0.0007,0.0050,-0.0450
HD184905,740,59,24,-0.0493,0.0012,0.0090,-0.0450
HD184905,360,1,68,0.9271,0.0021,0.0070,-0.0530
HD184905,440,2,68,1.1998,0.0021,0.0080,-0.0230
HD184905,550,3,68,1.2938,0.0011,0.0040,-0.0410
HD184905,360,1,74,-0.2507,0.0027,0.0120,-0.0530
HD184905,440,2,74,-0.0795,0.0021,0.0080,-0.0230
HD184905,550,3,74,-0.0464,0.0011,0.0070,-0.0410
HD184905,350,20,75,-0.1611,0.0010,0.0060,-0.0830
HD184905,410,21,75,0.1478,0.0005,0.0030,-0.0170
HD184905,465,22,75,0.2908,0.0005,0.0030,-0.0370
HD184905,550,23,75,0.4067,0.0008,0.0040,-0.0410
HD184905,350,20,76,-1.7299,0.0007,0.0060,-0.0830
HD184905,410,21,76,-1.2059,0.0006,0.0050,-0.0170
HD184905,465,22,76,-1.1594,0.0004,0.0040,-0.0370
HD184905,550,23,76,-1.1028,0.0005,0.0050,-0.0410
HD187474,350,20,92,6.4061,0.0037,0.0436,-0.0269
HD187474,410,21,92,5.4240,0.0008,0.0087,-0.0270
HD187474,465,22,92,5.2665,0.0006,0.0055,-0.0624
HD187474,550,23,92,5.3338,0.0008,0.0086,-0.0553
HD187474,350,20,93,6.4572,0.0014,0.0184,-0.0269
HD187474,410,21,93,5.4383,0.0008,0.0107,-0.0270
HD187474,465,22,93,5.2704,0.0009,0.0110,-0.0624
HD187474,550,23,93,5.3309,0.0006,0.0083,-0.0553
HD187474,350,20,97,6.4513,0.0020,0.0081,-0.0269
HD187474,410,21,97,5.4315,0.0013,0.0082,-0.0270
HD187474,465,22,97,5.2572,0.0009,0.0051,-0.0624
HD187474,550,23,97,5.3282,0.0008,0.0041,-0.0553
HD188041,350,20,13,7.1822,0.0012,0.0090,0.0100
HD188041,410,21,13,6.0932,0.0009,0.0070,0.0900
HD188041,465,22,13,5.7067,0.0008,0.0060,-0.0030
HD188041,550,23,13,5.6563,0.0007,0.0050,-0.0100
HD188041,350,20,14,7.1865,0.0016,0.0110,0.0100
HD188041,410,21,14,6.0973,0.0011,0.0070,0.0900
HD188041,465,22,14,5.7112,0.0012,0.0090,-0.0030
HD188041,550,23,14,5.6597,0.0012,0.0080,-0.0100
HD188041,350,50,24,-1.0084,0.0013,0.0080,0.0100
HD188041,360,51,24,-0.9491,0.0013,0.0070,0.0570
HD188041,410,52,24,-0.8762,0.0012,0.0080,0.0900
HD188041,465,53,24,-1.0341,0.0010,0.0070,-0.0030
HD188041,510,54,24,-1.0434,0.0016,0.0090,0.0000
HD188041,550,55,24,-1.0531,0.0011,0.0070,-0.0100
HD188041,635,56,24,-1.1197,0.0008,0.0050,-0.0250
HD188041,635,57,24,-1.1235,0.0014,0.0090,-0.0250
HD188041,740,58,24,-1.1115,0.0010,0.0060,-0.0280
HD188041,740,59,24,-1.1113,0.0011,0.0070,-0.0280
HD188041,350,20,50,7.1776,0.0051,0.0510,0.0100
HD188041,410,21,50,6.0799,0.0026,0.0250,0.0900
HD188041,465,22,50,5.7114,0.0009,0.0090,-0.0030
HD188041,550,23,50,5.6585,0.0008,0.0080,-0.0100
HD188041,350,20,51,7.1952,0.0022,0.0240,0.0100
HD188041,410,21,51,6.0954,0.0011,0.0110,0.0900
HD188041,465,22,51,5.7060,0.0008,0.0090,-0.0030
HD188041,550,23,51,5.6554,0.0009,0.0090,-0.0100
HD188041,540,60,77,0.4265,0.0003,0.0010,0.0010
HD188041,430,61,77,0.3753,0.0006,0.0020,-0.0220
HD188041,382,62,77,0.3527,0.0005,0.0020,-0.0380
HD188041,362,63,77,0.4075,0.0004,0.0020,-0.0030
HD188041,350,20,78,7.2136,0.0011,0.0060,0.0100
HD188041,410,21,78,6.0834,0.0007,0.0040,0.0900
HD188041,465,22,78,5.6879,0.0004,0.0030,-0.0030
HD188041,550,23,78,5.6375,0.0008,0.0050,-0.0100
HD189832,350,20,92,8.6852,0.0013,0.0114,-0.0081
HD189832,410,21,92,7.4004,0.0015,0.0122,-0.0243
HD189832,465,22,92,7.0633,0.0009,0.0090,-0.0056
HD189832,550,23,92,6.9211,0.0013,0.0115,0.0016
HD189832,350,20,93,8.6666,0.0015,0.0094,-0.0081
HD189832,410,21,93,7.4164,0.0014,0.0072,-0.0243
HD189832,465,22,93,7.0628,0.0009,0.0061,-0.0056
HD189832,550,23,93,6.9293,0.0012,0.0071,0.0016
HD192678,350,20,102,0.8015,0.0003,0.0025,0.0098
HD192678,410,21,102,0.8832,0.0004,0.0035,0.0020
HD192678,465,22,102,0.7957,0.0005,0.0038,0.0044
HD192678,550,23,102,0.8805,0.0004,0.0033,0.0008
HD192913,350,20,16,-1.8905,0.0008,0.0080,-0.0730
HD192913,410,21,16,-1.4399,0.0006,0.0050,-0.0410
HD192913,465,22,16,-1.3339,0.0006,0.0050,-0.0580
HD192913,550,23,16,-1.2615,0.0011,0.0090,-0.0570
HD192913,350,20,86,-0.5230,0.0014,0.0110,-0.0730
HD192913,410,21,86,-0.1369,0.0014,0.0100,-0.0410
HD192913,465,22,86,-0.0957,0.0010,0.0060,-0.0580
HD192913,550,23,86,-0.0492,0.0018,0.0100,-0.0570
HD193722,350,20,79,-1.6841,0.0006,0.0080,-0.1140
HD193722,410,21,79,-0.9743,0.0003,0.0050,-0.0610
HD193722,465,22,79,-0.8341,0.0003,0.0040,-0.0620
HD193722,550,23,79,-0.7444,0.0003,0.0040,-0.0590
HD197018,350,20,31,0.2103,0.0004,0.0040,0.0310
HD197018,410,21,31,0.3693,0.0005,0.0050,0.0190
HD197018,465,22,31,0.3798,0.0004,0.0040,0.0180
HD197018,550,23,31,0.3966,0.0004,0.0040,0.0150
HD200311,350,20,30,0.8919,0.0003,0.0040,0.0310
HD200311,410,21,30,1.2144,0.0003,0.0040,0.0230
HD200311,465,22,30,1.2009,0.0002,0.0040,0.0260
HD200311,550,23,30,1.2357,0.0003,0.0040,0.0200
HD201601,350,20,92,6.3714,0.0025,0.0205,0.0000
HD201601,410,21,92,5.2440,0.0016,0.0128,0.0000
HD201601,465,22,92,4.8596,0.0011,0.0088,0.0000
HD201601,550,23,92,4.7139,0.0008,0.0063,0.0000
HD201601,350,20,93,6.3614,0.0012,0.0135,0.0000
HD201601,410,21,93,5.2544,0.0012,0.0132,0.0000
HD201601,465,22,93,4.8510,0.0012,0.0130,0.0000
HD201601,550,23,93,4.7057,0.0011,0.0117,0.0000
HD201601,350,20,97,6.3661,0.0019,0.0120,0.0000
