0013,7676,"Sterken, C.; Manfroid, J.; Beele, D.; et al.","1995A&AS..113...31S",,"u(29)v(29)b(29)y(29)"
0014,7676,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.","1995A&AS..109..329M",,"u(74)v(74)b(74)y(74)"
0000,8441,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(95)Bt(135)Vt(135)"
0104,8441,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862","u(32)v(32)b(32)y(32)"
0000,10221,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(142)Bt(171)Vt(171)"
0058,10221,"Winzer, John Ernest","1974PhDT........61W","HD6829","U(13)B(13)V(13)"
0000,10783,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(99)Bt(147)Vt(147)"
0077,10783,"van Genderen, A. M.","1971A&A....14...48V","HD10262","V(23)B(23)L(23)U(23)W(23)"
0000,11187,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(124)Bt(174)Vt(174)"
0019,11187,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD11335","u(100)v(100)b(100)y(100)"
0000,11291,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(116)Bt(151)Vt(151)"
0058,11291,"Winzer, John Ernest","1974PhDT........61W","HD11335","U(9)B(9)V(9)"
0000,12288,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(164)Bt(219)Vt(219)"
0104,12288,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862","u(25)v(25)b(25)y(25)"
0058,12447,"Winzer, John Ernest","1974PhDT........61W","HD13467","U(15)B(15)V(15)"
0115,12447,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD12573","u(148)v(148)b(148)y(148)"
0000,14392,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(171)Bt(230)Vt(230)"
0016,14392,"Adelman, S. J.; Knox, J. R., Jr.","1994A&AS..103....1A","HD14212","u(81)v(81)b(81)y(81)"
0058,14392,"Winzer, John Ernest","1974PhDT........61W","HD14212","U(19)B(19)V(19)"
0000,15144,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(108)Bt(142)Vt(142)"
0006,15144,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(3)H(3)K(3)L(3)"
0019,15144,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD15130","u(74)v(74)b(74)y(74)"
0077,15144,"van Genderen, A. M.","1971A&A....14...48V","HD15798","V(8)B(8)L(8)U(7)W(7) [in mag, in paper logE]"
0115,15144,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD15130","u(41)v(41)b(41)y(41)"
0000,15980,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(122)Bt(171)Vt(171)"
