referenceId,starId,author,bibcode,referenceStarIds
58,953004,"Winzer, John Ernest",1974PhDT........61W,HD57744
58,439973,"Winzer, John Ernest",1974PhDT........61W,HD60652
58,394588,"Winzer, John Ernest",1974PhDT........61W,HD58971
58,346573,"Winzer, John Ernest",1974PhDT........61W	HD67934,U(9)B(9)V(9)
58,1038867,"Winzer, John Ernest",1974PhDT........61W,HD69897
58,1113054,"Winzer, John Ernest",1974PhDT........61W,HD74783
58,1602611,"Winzer, John Ernest",1974PhDT........61W	HD77190,
58,1604872,"Winzer, John Ernest",1974PhDT........61W,HD78661
58,463937,"Winzer, John Ernest",1974PhDT........61W	HD93427,
58,1712363,"Winzer, John Ernest",1974PhDT........61W,HD89774
58,448360,"Winzer, John Ernest",1974PhDT........61W,HD93427
58,25243,"Winzer, John Ernest",1974PhDT........61W,HD11031
58,533178,"Winzer, John Ernest",1974PhDT........61W,HD99859
58,500796,"Winzer, John Ernest",1974PhDT........61W,HD118214
58,529163,"Winzer, John Ernest",1974PhDT........61W,HD121409
58,2236380,"Winzer, John Ernest",1974PhDT........61W,HD122408
58,515847,"Winzer, John Ernest",1974PhDT........61W,HD133962
58,2729819,"Winzer, John Ernest",1974PhDT........61W,HD151862
58,322510,"Winzer, John Ernest",1974PhDT........61W,HD165358
58,2671296,"Winzer, John Ernest",1974PhDT........61W,HD171802
58,299644,"Winzer, John Ernest",1974PhDT........61W,HD179933
58,2844419,"Winzer, John Ernest",1974PhDT........61W,HD180613
58,115626,"Winzer, John Ernest",1974PhDT........61W,HD192514
58,116540,"Winzer, John Ernest",1974PhDT........61W,HD194684
58,1427458,"Winzer, John Ernest",1974PhDT........61W,HD202275
58,63839,"Winzer, John Ernest",1974PhDT........61W,HD205314
58,63845,"Winzer, John Ernest",1974PhDT........61W,HD205314
58,1497887,"Winzer, John Ernest",1974PhDT........61W,HD205541
58,120277,"Winzer, John Ernest",1974PhDT........61W,HD209124
58,1501079,"Winzer, John Ernest",1974PhDT........61W,HD221605
58,202582,"Winzer, John Ernest",1974PhDT........61W,HD225289
59,500796,"Pavlovski, K.",1979A&A....76..362P,
60,500796,"Jetsu, L.; Kokko, M.; Tuominen, I.",1992A&A...265..547J,
61,500796,"Pyper, D. M.; Adelman, S. J.",1985A&AS...59..369P,
61,2236380,"Pyper, D. M.; Adelman, S. J.",1985A&AS...59..369P,
61,11584640,"Pyper, D. M.; Adelman, S. J.",1985A&AS...59..369P,
61,2855814,"Pyper, D. M.; Adelman, S. J.",1985A&AS...59..369P,
62,529163,"Wade, G. A.; Hill, G. M.; et al.",1998A&A...335..973W,HD121409
63,11584640,"Stibbs, D. W. N.",1950MNRAS.110..395S,HD124683
64,11584640,"Maitzen, H. M.; Rakosch, K. D.",1970A&A.....7...10M,HD124683
66,11584640,"Maitzen, H. M.; Moffat, A. F. J.",1972A&A....16..385M,HD124683
67,11584640,"Catalano, F. A.; Kroll, R.; Leone, F.",1992A&A...263..203C,HD124683
68,688319,"Burke, Edward W., Jr.; and co.",1970JRASC..64..353B,HD25643
68,1038867,"Burke, Edward W., Jr.; and co.",1970JRASC..64..353B,HD68254
68,1602611,"Burke, Edward W., Jr.; and co.",1970JRASC..64..353B,HD76333
68,1712363,"Burke, Edward W., Jr.; and co.",1970JRASC..64..353B,HD90123
68,2855814,"Burke, Edward W., Jr.; et al.",1970JRASC..64..353B,HD136512
68,194506,"Burke, Edward W., Jr.; et al.",1970JRASC..64..353B,HD184875
69,2855814,"Brodskaya, Ă„â€šĂ˘â‚¬ĹľÄ‚ËĂ˘â€šÂ¬ÄąË‡Ă„â€šĂ‹ÂÄ‚ËĂ˘â‚¬ĹˇĂ‚Â¬Ä‚â€šĂ‚Â°. S.",1970SvA....14..529B,HD140436
70,2261235,"Adelman, Saul J.",2001A&A...368..225A,HD124850
70,2634359,"Adelman, Saul J.",2001A&A...368..225A,HD141851
70,2686149,"Adelman, Saul J.",2001A&A...368..225A,HD171975
70,120277,"Adelman, Saul J.",2001A&A...368..225A,HD209124
74,194506,"Burke, E. W., Jr.; Thompson, S. K.",1987PASP...99..852B,HD184787
75,194506,"Morrison, Nancy D.; Wolff, Sidney C.",1971PASP...83..474M,"HD186307 "
75,3486687,"Morrison, Nancy D.; Wolff, Sidney C.",1971PASP...83..474M,HD201772
76,194506,"Adelman, S. J.; Brown, B. H.; et al.",1994A&AS..106..333A,HD184875
76,63845,"Adelman, S. J.; Brown, B. H.; et al.",1994A&AS..106..333A,HD205314
76,120277,"Adelman, S. J.; Brown, B. H.; et al.",1994A&AS..106..333A,HD209124
77,1425819,"van Genderen, A. M.",1971A&A....14...48V,HD10262
77,1298708,"van Genderen, A. M.",1971A&A....14...48V,HD15798
77,2630671,"van Genderen, A. M.",1971A&A....14...48V,HD189359
77,1427458,"van Genderen, A. M.",1971A&A....14...48V,HD201616
77,1150019,"van Genderen, A. M.",1971A&A....14...48V,HD221736
78,2630671,"Jones, Terry J.; Wolff, Sidney C.",1973PASP...85..760J,
79,689954,"Adelman, S. J.; Pi, C.-L. M.; Rayle, K. E.",1998A&AS..133..197A,HD23753
79,925913,"Adelman, S. J.; Pi, C.-L. M.; Rayle, K. E.",1998A&AS..133..197A,HD50040
79,115626,"Adelman, S. J.; Pi, C.-L. M.; Rayle, K. E.",1998A&AS..133..197A,HD192514
81,1427458,"Deul, E. R.; van Genderen, A. M.",1983A&A...118..289D,HD201616
81,3486687,"Deul, E. R.; van Genderen, A. M.",1983A&A...118..289D,HD203585
82,63845,"Adelman, S. J.",2003A&A...401..357A,HD205314
82,78615,"Adelman, S. J.",2003A&A...401..357A,HD217348
83,500796,"Burke, E. W., Jr.; Howard, J. T.",1972ApJ...178..491B,HD119992
84,500796,"Mikulasek, Z.; Ziznovsky, J.",2001IBVS.5188....1M,HD120874
85,827499,"Adelman, S. J.; Pyper, D. M.",1985A&AS...62..279A,HD37744
86,871077,"Adelman, S. J.; Young, K. J.",2005A&A...429..317A,HD43153
86,2851647,"Adelman, S. J.; Young, K. J.",2005A&A...429..317A,HD191747
86,1322712,"Adelman, S. J.; Young, K. J.",2005A&A...429..317A,HD213320
86,202582,"Adelman, S. J.; Young, K. J.",2005A&A...429..317A,HD223624
87,756054,"Adelman, S. J.; Kaewkornmaung, P.",2005A&A...435.1099A,HD32068
87,836292,"Adelman, S. J.; Kaewkornmaung, P.",2005A&A...435.1099A,HD39182
87,394588,"Adelman, S. J.; Kaewkornmaung, P.",2005A&A...435.1099A,HD61497
87,1096072,"Adelman, S. J.; Kaewkornmaung, P.",2005A&A...435.1099A,HD73997
88.1,1096072,"Maitzen, H. M.; Albrecht, R.; Heck, A.",1978A&A....62..199M,HD73400
88.2,1096072,"Maitzen, H. M.; Albrecht, R.; Heck, A.",1978A&A....62..199M,HD73997
88.3,1096072,"Maitzen, H. M.; Albrecht, R.; Heck, A.",1978A&A....62..199M,"HD73997,HD70574"
89,3019740,"Hensberge, H.; de Loore, C.; Zuiderwijk, E. J.",1976A&A....48..383H,
90,2976986,"Breger, M.",1979IBVS.1659....1B,
90,3044458,"Breger, M.",1979IBVS.1659....1B,
91.1,630338,"Fried, R. E.; Adelman, S. J.",2003JAD.....9....2F,HD19600
91.2,630338,"Fried, R. E.; Adelman, S. J.",2003JAD.....9....2F,HD19600
91.3,630338,"Fried, R. E.; Adelman, S. J.",2003JAD.....9....2F,HD19600
91.4,630338,"Fried, R. E.; Adelman, S. J.",2003JAD.....9....2F,HD19600
91.5,630338,"Fried, R. E.; Adelman, S. J.",2003JAD.....9....2F,HD19600
92,1226565,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,722159,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,722478,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,785381,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,811516,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,867173,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,3021861,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,1779210,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,1875429,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,3316721,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,2312837,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,2531914,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,2351555,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,2323074,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,2323323,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,1427458,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,1272517,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92,1150019,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92.1,1246073,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
92.2,1246073,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.",1995yCat.2170....0M,
93,1246073,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,1226565,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,722159,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,722478,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,785381,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,811516,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,867173,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,3021861,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,1779210,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,1875429,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,3316721,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
93,2312837,"Sterken, C.; Manfroid, J.; Anton, K.; et al.",1995yCat.2188....0S,
